[21:26:45] [ServerMain/INFO]: Building unoptimized datafixer
[21:26:47] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[21:26:48] [ServerMain/WARN]: Failed to parse level-type default, defaulting to minecraft:normal
[21:26:48] [ServerMain/INFO]: Loaded 7 recipes
[21:26:49] [ServerMain/INFO]: Loaded 1179 advancements
[21:26:51] [Server thread/INFO]: Starting minecraft server version 1.19.2
[21:26:51] [Server thread/INFO]: Loading properties
[21:26:51] [Server thread/INFO]: Default game type: SURVIVAL
[21:26:51] [Server thread/INFO]: Generating keypair
[21:26:51] [Server thread/INFO]: Starting Minecraft server on *:25565
[21:26:51] [Server thread/INFO]: Using epoll channel type
[21:26:51] [Server thread/INFO]: Preparing level "world"
[21:27:37] [Worker-Main-4/INFO]: Preparing spawn area: 3%
[21:27:38] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[21:27:38] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[21:27:39] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[21:27:39] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[21:27:40] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[21:27:40] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[21:27:41] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[21:27:41] [Worker-Main-3/INFO]: Preparing spawn area: 5%
[21:27:42] [Worker-Main-4/INFO]: Preparing spawn area: 6%
[21:27:42] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[21:27:43] [Worker-Main-5/INFO]: Preparing spawn area: 6%
[21:27:43] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[21:27:44] [Worker-Main-1/INFO]: Preparing spawn area: 7%
[21:27:44] [Worker-Main-4/INFO]: Preparing spawn area: 8%
[21:27:45] [Worker-Main-4/INFO]: Preparing spawn area: 8%
[21:27:45] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[21:27:46] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[21:27:46] [Worker-Main-3/INFO]: Preparing spawn area: 10%
[21:27:47] [Worker-Main-5/INFO]: Preparing spawn area: 10%
[21:27:47] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[21:27:48] [Worker-Main-5/INFO]: Preparing spawn area: 12%
[21:27:48] [Worker-Main-1/INFO]: Preparing spawn area: 13%
[21:27:49] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[21:27:49] [Worker-Main-5/INFO]: Preparing spawn area: 14%
[21:27:50] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[21:27:50] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[21:27:51] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[21:27:51] [Worker-Main-4/INFO]: Preparing spawn area: 15%
[21:27:52] [Worker-Main-5/INFO]: Preparing spawn area: 16%
[21:27:52] [Worker-Main-4/INFO]: Preparing spawn area: 17%
[21:27:53] [Worker-Main-4/INFO]: Preparing spawn area: 17%
[21:27:54] [Worker-Main-4/INFO]: Preparing spawn area: 18%
[21:27:54] [Worker-Main-4/INFO]: Preparing spawn area: 18%
[21:27:54] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[21:27:55] [Worker-Main-4/INFO]: Preparing spawn area: 20%
[21:27:55] [Worker-Main-1/INFO]: Preparing spawn area: 20%
[21:27:56] [Worker-Main-3/INFO]: Preparing spawn area: 21%
[21:27:56] [Worker-Main-3/INFO]: Preparing spawn area: 22%
[21:27:57] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[21:27:57] [Worker-Main-5/INFO]: Preparing spawn area: 23%
[21:27:58] [Worker-Main-1/INFO]: Preparing spawn area: 23%
[21:27:58] [Worker-Main-3/INFO]: Preparing spawn area: 23%
[21:27:59] [Worker-Main-3/INFO]: Preparing spawn area: 24%
[21:27:59] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[21:28:00] [Worker-Main-4/INFO]: Preparing spawn area: 25%
[21:28:00] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[21:28:01] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[21:28:01] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[21:28:02] [Worker-Main-1/INFO]: Preparing spawn area: 27%
[21:28:02] [Worker-Main-1/INFO]: Preparing spawn area: 28%
[21:28:03] [Worker-Main-1/INFO]: Preparing spawn area: 29%
[21:28:03] [Worker-Main-5/INFO]: Preparing spawn area: 29%
[21:28:04] [Worker-Main-4/INFO]: Preparing spawn area: 30%
[21:28:04] [Worker-Main-1/INFO]: Preparing spawn area: 30%
[21:28:05] [Worker-Main-3/INFO]: Preparing spawn area: 31%
[21:28:05] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[21:28:06] [Worker-Main-5/INFO]: Preparing spawn area: 32%
[21:28:06] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[21:28:07] [Worker-Main-5/INFO]: Preparing spawn area: 34%
[21:28:07] [Worker-Main-3/INFO]: Preparing spawn area: 34%
[21:28:08] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[21:28:08] [Worker-Main-5/INFO]: Preparing spawn area: 35%
[21:28:09] [Worker-Main-5/INFO]: Preparing spawn area: 35%
[21:28:09] [Worker-Main-4/INFO]: Preparing spawn area: 36%
[21:28:10] [Worker-Main-5/INFO]: Preparing spawn area: 36%
[21:28:10] [Worker-Main-5/INFO]: Preparing spawn area: 36%
[21:28:10] [User Authenticator #1/INFO]: UUID of player derekwheee is d2ab78ab-41ab-46cb-8ad0-3413ecbde0bd
[21:28:11] [Worker-Main-1/INFO]: Preparing spawn area: 37%
[21:28:11] [Worker-Main-1/INFO]: Preparing spawn area: 38%
[21:28:12] [Worker-Main-4/INFO]: Preparing spawn area: 39%
[21:28:12] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[21:28:13] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[21:28:13] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[21:28:14] [Worker-Main-4/INFO]: Preparing spawn area: 42%
[21:28:14] [Worker-Main-4/INFO]: Preparing spawn area: 42%
[21:28:15] [Worker-Main-3/INFO]: Preparing spawn area: 43%
[21:28:15] [Worker-Main-5/INFO]: Preparing spawn area: 44%
[21:28:16] [Worker-Main-3/INFO]: Preparing spawn area: 44%
[21:28:16] [Worker-Main-3/INFO]: Preparing spawn area: 45%
[21:28:17] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[21:28:17] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[21:28:18] [Worker-Main-1/INFO]: Preparing spawn area: 46%
[21:28:18] [Worker-Main-4/INFO]: Preparing spawn area: 47%
[21:28:19] [Worker-Main-3/INFO]: Preparing spawn area: 48%
[21:28:19] [Worker-Main-1/INFO]: Preparing spawn area: 48%
[21:28:20] [Worker-Main-1/INFO]: Preparing spawn area: 50%
[21:28:20] [Worker-Main-4/INFO]: Preparing spawn area: 50%
[21:28:21] [Worker-Main-5/INFO]: Preparing spawn area: 51%
[21:28:21] [Worker-Main-5/INFO]: Preparing spawn area: 52%
[21:28:22] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[21:28:22] [Worker-Main-5/INFO]: Preparing spawn area: 54%
[21:28:23] [Worker-Main-4/INFO]: Preparing spawn area: 54%
[21:28:23] [Worker-Main-5/INFO]: Preparing spawn area: 55%
[21:28:24] [Worker-Main-4/INFO]: Preparing spawn area: 55%
[21:28:24] [Worker-Main-1/INFO]: Preparing spawn area: 57%
[21:28:25] [Worker-Main-1/INFO]: Preparing spawn area: 57%
[21:28:25] [Worker-Main-5/INFO]: Preparing spawn area: 57%
[21:28:26] [Worker-Main-1/INFO]: Preparing spawn area: 58%
[21:28:26] [Worker-Main-3/INFO]: Preparing spawn area: 59%
[21:28:27] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[21:28:27] [Worker-Main-5/INFO]: Preparing spawn area: 61%
[21:28:28] [Worker-Main-4/INFO]: Preparing spawn area: 62%
[21:28:28] [Worker-Main-3/INFO]: Preparing spawn area: 62%
[21:28:29] [Worker-Main-3/INFO]: Preparing spawn area: 63%
[21:28:29] [Worker-Main-5/INFO]: Preparing spawn area: 64%
[21:28:30] [Worker-Main-5/INFO]: Preparing spawn area: 64%
[21:28:30] [Worker-Main-1/INFO]: Preparing spawn area: 64%
[21:28:31] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[21:28:31] [Worker-Main-3/INFO]: Preparing spawn area: 68%
[21:28:32] [Worker-Main-5/INFO]: Preparing spawn area: 68%
[21:28:32] [Worker-Main-1/INFO]: Preparing spawn area: 69%
[21:28:33] [Worker-Main-3/INFO]: Preparing spawn area: 71%
[21:28:33] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[21:28:34] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[21:28:34] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[21:28:35] [Worker-Main-4/INFO]: Preparing spawn area: 79%
[21:28:35] [Worker-Main-3/INFO]: Preparing spawn area: 81%
[21:28:36] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[21:28:36] [Worker-Main-1/INFO]: Preparing spawn area: 85%
[21:28:37] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[21:28:37] [Worker-Main-5/INFO]: Preparing spawn area: 88%
[21:28:38] [Worker-Main-5/INFO]: Preparing spawn area: 90%
[21:28:38] [Worker-Main-4/INFO]: Preparing spawn area: 92%
[21:28:39] [Worker-Main-3/INFO]: Preparing spawn area: 94%
[21:28:39] [Worker-Main-4/INFO]: Preparing spawn area: 96%
[21:28:40] [Worker-Main-2/INFO]: Preparing spawn area: 98%
[21:28:40] [Server thread/INFO]: Time elapsed: 79944 ms
[21:28:40] [Server thread/INFO]: Done (109.385s)! For help, type "help"
[21:28:40] [Server thread/INFO]: Starting remote control listener
[21:28:40] [Server thread/INFO]: Thread RCON Listener started
[21:28:40] [Server thread/INFO]: RCON running on 0.0.0.0:25575
[21:28:40] [Server thread/INFO]: com.mojang.authlib.GameProfile@65444637[id=d2ab78ab-41ab-46cb-8ad0-3413ecbde0bd,name=derekwheee,properties={textures=[com.mojang.authlib.properties.Property@25ebcd14]},legacy=false] (/172.18.0.1:55650) lost connection: Disconnected
[21:28:51] [User Authenticator #2/INFO]: UUID of player derekwheee is d2ab78ab-41ab-46cb-8ad0-3413ecbde0bd
[21:28:52] [Server thread/INFO]: derekwheee[/172.18.0.1:55674] logged in with entity id 250 at (-88.5, 92.0, -38.5)
[21:28:52] [Server thread/INFO]: derekwheee joined the game
[21:29:11] [Server thread/INFO]: derekwheee lost connection: Disconnected
[21:29:11] [Server thread/INFO]: derekwheee left the game
[21:29:17] [Server thread/INFO]: Stopping the server
[21:29:17] [Server thread/INFO]: Stopping server
[21:29:17] [Server thread/INFO]: Saving players
[21:29:17] [Server thread/INFO]: Saving worlds
[21:29:18] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[21:29:22] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[21:29:22] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[21:29:22] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[21:29:22] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[21:29:22] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[21:29:22] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
[21:29:22] [Server thread/INFO]: Thread RCON Listener stopped
